smaklig måltid! , enjoy your meal!,{smaklig}
tjänar , earn,{tjänar}
vid , at; by; at the time of,{vid}
lika med , equal to,{lika}
väl , well,{väl}
börjar , start,{börjar}
sedan , since,{sedan}
lever , live,{lever}
eftersom , because,{eftersom}
trist , boring; sad; dull,{trist}
vid , at; by; at the time of,{vid}
lägger sig , lie down,{lägger}
somnar , fall asleep,{somnar}
börjar , start,{börjar}
ändra , modify; change,{ändra}
byta , switch; trade; change,{byta}
göra om , redo,{göra}
fel , error; wrong,{fel}
rätt , right; correct; straight; dish,{rätt}
stiger upp , get up,{stiger}
höger sida , right side,{höger}
snart , soon; shortly,{snart}
välja , choose,{välja}
föddes , be born,{föddes}
mellan , between,{mellan}
hur dags , when? at what time?,{hur}
översätt , translate,{översätt}
försök , try; attempt,{försök}
igen , again,{igen}
rostat , roasted,{rostat}
avsluta , end; close,{avsluta}
räknar , count,{räknar}
fikon , fig,{fikon}
kam , comb,{kam}
hittar , find,{hittar}
svamp , mushroom,{svamp}
kryper , crawl,{kryper}
gråter , cry,{gråter}
brukar , usually do,{brukar}
skrattar , laugh,{skrattar}
städar , clean,{städar}
sällan , seldom,{sällan}
ibland , sometimes,{ibland}
faluröd , red (particular color),{faluröd}
kör , drive; choir (different sound [sh|k]),{kör}
gården , farm; ranch; courtyard,{gården}
trädgården , garden,{trädgården}
landet , country; the countryside (rural),{landet}
jaga , hunt,{jaga}
aldrig , never,{aldrig}
åka skidor , ski,{åka}
skridskor , skates,{skridskor}
schack , chess,{schack}
två och två , in pairs,{två}
skoj , fun,{skoj}
tyvärr , unfortunately,{tyvärr}
i stället , instead,{i}
tror , believe; think; guess,{tror}
tycker , think; reckon; opine,{tycker}
tråkig , boring,{tråkig}
båda , both,{båda}
nyligen , lately,{nyligen}
dålig , bad,{dålig}
svår , difficult,{svår}
lätt , easy; light,{lätt}
andra , second; other,{andra}
en annan , another,{en}
synd , pity,{synd}
våning , floor (building stories),{våning}
hals , neck,{hals}
halsduk , scarf,{halsduk}
mössa , cap,{mössa}
hylla , shelf,{hylla}
matta , carpet,{matta}
saker , things,{saker}
vind , attic; wind,{vind}
närheten , vicinity,{närheten}
marken , ground,{marken}
våg , wave; scale,{våg}
hav , sea,{hav}
jorden , Earth,{jorden}
slätten , plain (geography),{slätten}
fält , field,{fält}
förut , before,{förut}
ute , outside,{ute}
inne , inside,{inne}
sjö , lake,{sjö}
å , river,{å}
ö , island,{ö}
berätta , tell,{berätta}
känner , feel; know (people),{känner}
källar , basement,{källar}
fin , good; nice,{fin}
hål , hole,{hål}
letar efter , look for,{letar}
letar , look,{letar}
någonting , something,{någonting}
något , something,{något}
någon , someone,{någon}
kasse , bag,{kasse}
påse , bag,{påse}
låna , lend; borrow,{låna}
väninna , (female) friend,{väninna}
hostar , cough,{hostar}
förra , previous; last; former,{förra}
låt , let,{låt}
lat , lazy,{lat}
långsam , slow,{långsam}
snabb , fast,{snabb}
fart , speed,{fart}
tung , heavy,{tung}
storlek , size,{storlek}
dyr , expensive,{dyr}
billig , cheap,{billig}
några , some,{några}
inga , none,{inga}
alla , all,{alla}
samma , same,{samma}
likadana , alike,{likadana}
bensinstation , gas station,{bensinstation}
bredvid , next to,{bredvid}
bakom , behind,{bakom}
framför , in front of,{framför}
ljud , sound,{ljud}
ljus , light,{ljus}
viktig , important,{viktig}
betydelse , meaning,{betydelse}
beroende , depending; dependence,{beroende}
skilja , difference; distinction,{skilja}
eftersom , because; since,{eftersom}
tänker , think,{tänker}
skräp , litter,{skräp}
syskon , siblings,{syskon}
spännande , exciting,{spännande}
vågrätt , horizontally,{vågrätt}
lodrätt , vertically,{lodrätt}
släkt , extended family,{släkt}
faktist , actually,{faktist}
sen , ago; late,{sen}
ganska , quite,{ganska}
nästan , almost,{nästan}
struts , ostrich,{struts}
massa , a lot of,{massa}
nobelpristagare , winner of the Nobel Prize,{nobelpristagare}
kanske , maybe,{kanske}
kostnad , cost,{kostnad}
flyttar , move,{flyttar}
användbar , useful,{användbar}
använda , use,{använda}
nedan , below,{nedan}
tungan , tongue,{tungan}
läpparna , lips,{läpparna}
mun , mouth,{mun}
beställ , order; menu (restaurant),{beställ}
bred , broad; wide,{bred}
rund , round,{rund}
ses senare , see you later,{ses}
tidig , early,{tidig}
naturligtvis , naturally; of course,{naturligtvis}
tänker , think; reflect; plan,{tänker}
skön , nice; beautiful,{skön}
jobbig , hard; laborious,{jobbig}
tänder , light (verb),{tänder}
väger , weigh,{väger}
sätter , put; set,{sätter}
lägg , add; leave (something somewhere),{lägg}
möter , meet,{möter}
söker , seek; search,{söker}
bort , gone; out; away,{bort}
kyl , fridge,{kyl}
kylskåp , refrigerator,{kylskåp}
skåp , cabinet; cupboard,{skåp}
sopor , garbage,{sopor}
sopa , broom,{sopa}
kvast , broom,{kvast}
många , many,{många}
mycket , much,{mycket}
annars , otherwise,{annars}
tala sanning , tell the truth,{tala}
sant , true,{sant}
död , dead,{död}
hemmafru , housewife,{hemmafru}
konstnär , artist,{konstnär}
arbetslös , unemployd,{arbetslös}
består , consist,{består}
skog , forest,{skog}
råd , advice,{råd}
ge , give,{ge}
skriv ner , write down,{skriv}
skriv ut , print,{skriv}
besvärlig , troublesome; difficult,{besvärlig}
siffra , figure; digit,{siffra}
går av , get off,{går}
går på , get on,{går}
svänger , turn,{svänger}
rakt fram , straight ahead,{rakt}
husdjur , pet,{husdjur}
hälsa på , visit,{hälsa}
fredags , last Friday,{fredags}
körsbär , cherries,{körsbär}
tvillingar , twins,{tvillingar}
mening , sentence,{mening}
växte upp , grow up,{växte}
skraplott , scratch card,{skraplott}
kex , biscuits,{kex}
burk , jar,{burk}
mjöl , flour,{mjöl}
majs , corn,{majs}
godis , sweets; candy,{godis}
havregryn , oatmeal,{havregryn}
torsk , cod (fish),{torsk}
nötkött , beef,{nötkött}
fläskkött , pork,{fläskkött}
naturkunskap , natural sciences,{naturkunskap}
konst , art,{konst}
skylte , sign,{skylte}
gymnasieskolan , secondary school,{gymnasieskolan}
kontor , office,{kontor}
anställd , employee,{anställd}
gärna , please; gladly; with pleasure,{gärna}
lämnar , leave (go); return (something lent),{lämnar}
kalas , children's party,{kalas}
födelsedag , birthday,{födelsedag}
maskerad , costume party,{maskerad}
sallad , salad,{sallad}
soppa , soup,{soppa}
efterrätt , dessert,{efterrätt}
anländer , arrive,{anländer}
avgår , depart,{avgår}
försenat , late,{försenat}
i tid , on time,{i}
flyg , flight,{flyg}
flygplan , airplane,{flygplan}
simhall , indoor pool,{simhall}
personlig , personal,{personlig}
löpband , treadmill,{löpband}
stavgång , nordic walk,{stavgång}
lag , team,{lag}
mål , goal,{mål}
ungefär , approximately; about,{ungefär}
måla , paint,{måla}
rita , draw,{rita}
får , sheep,{får}
ko , cow,{ko}
kossa , cow (female),{kossa}
tjur , bull,{tjur}
giraff , giraffe,{giraff}
styrketräning , lifts (weights),{styrketräning}
orm , snake,{orm}
mask , mask; worm,{mask}
kanin , rabbit,{kanin}
groda , frog,{groda}
padda , toad,{padda}
häst , horse,{häst}
snigel , snail,{snigel}
varg , wolf,{varg}
räv , fox,{räv}
tvättbjörn , raccoon,{tvättbjörn}
björn , bear,{björn}
gissa , figure; guess,{gissa}
sten , stone,{sten}
stig , path,{stig}
fickan , pocket,{fickan}
otrolig , incredible,{otrolig}
otrevlig , unpleasant,{otrevlig}
umgås , socialize; keep company,{umgås}
puder , powder,{puder}
rynka , wrinkle,{rynka}
i grund och botten , basically,{i}
kloka , wise,{kloka}
tur , luck; lucky,{tur}
skillnad , difference,{skillnad}
härlig , lovely; divine; magnificient,{härlig}
verkligen , really,{verkligen}
förlor , forgive,{förlor}
slag , kind,{slag}
göra om , redo,{göra}
bygga om , redo,{bygga}
bidra , contribute,{bidra}
tuff , tough,{tuff}
förebild , example; model,{förebild}
